Time,Input,Output
1.13,0.05,48
2.131,0.1250625,47.75
3.132,0.1626125,48
4.133,0.2,47.75
5.134,0.2,47.75
6.135,0.2,47.75
7.136,0.2,47.75
8.137,0.2,47.75
9.138,0.2,47.75
10.139,0.2,47.75
11.14,0.2,48
12.141,0.2,47.75
13.142,0.2,47.75
14.143,0.2,47.75
15.144,0.2,47.75
16.145,0.2,47.75
17.146,0.2,47.75
18.147,0.2,47.75
19.148,0.2,47.75
20.149,0.2,47.75
21.15,0.2,47.75
22.151,0.2,47.75
23.152,0.2,47.75
24.153,0.2,47.75
25.154,0.2,47.75
26.155,0.2,47.75
27.156,0.2,47.75
28.157,0.2,47.75
29.158,0.2,47.75
30.159,0.2,47.75
31.16,0.2,47.75
32.161,0.2,47.75
33.162,0.2,47.75
34.163,0.2,47.75
35.164,0.2,47.75
36.165,0.2,47.75
37.166,0.2,47.75
38.167,0.2,47.75
39.168,0.2,47.75
40.169,0.2,47.75
41.17,0.2,47.75
42.171,0.2,47.75
43.172,0.2,47.75
44.173,0.2,47.75
45.174,0.2,47.75
46.175,0.2,47.75
47.176,0.2,47.75
48.177,0.2,47.75
49.178,0.2,47.75
50.179,0.2,47.75
51.18,0.2,47.75
52.181,0.2,47.75
53.182,0.2,47.75
54.183,0.2,47.75
55.184,0.2,47.75
56.185,0.2,47.75
57.186,0.2,47.75
58.187,0.2,47.75
59.188,0.2,47.75
60.189,0.2,47.75
61.19,0.2,47.75
62.191,0.2,47.75
63.192,0.2,47.75
64.193,0.2,47.75
65.194,0.2,47.75
66.195,0.2,47.75
67.196,0.2,47.75
68.197,0.2,47.75
69.198,0.2,47.75
70.199,0.2,48
71.2,0.2,47.75
72.201,0.2,47.75
73.202,0.2,47.75
74.203,0.2,47.75
75.204,0.2,47.75
76.205,0.2,47.75
77.206,0.2,47.75
78.207,0.2,47.75
79.208,0.2,47.75
80.209,0.2,47.75
81.21,0.2,47.75
82.211,0.2,47.75
83.212,0.2,48
84.213,0.2,47.75
85.214,0.2,47.75
86.215,0.2,47.75
87.216,0.2,48
88.217,0.2,48
89.218,0.2,47.75
90.219,0.2,48
91.22,0.2,47.75
92.221,0.2,47.75
93.222,0.2,47.75
94.223,0.2,48
95.224,0.2,48
96.225,0.2,48
97.226,0.2,48
98.227,0.2,48
99.228,0.2,48
100.229,0.2,48
101.23,0.2,48
102.231,0.2,48
103.232,0.2,48
104.233,0.2,48
105.234,0.2,48
106.235,0.2,48
107.236,0.2,48
108.237,0.2,48
109.238,0.2,48
110.239,0.2,48
111.24,0.2,48
112.241,0.2,48
113.242,0.2,48
114.243,0.2,48
115.244,0.2,48
116.245,0.2,48
117.246,0.2,48
118.247,0.2,48
119.248,0.2,48
120.249,0.2,48
121.25,0.2,48
122.251,0.2,48
123.252,0.2,48
124.253,0.2,48
125.254,0.2,48
126.255,0.2,48
127.256,0.2,48
128.257,0.2,48
129.258,0.2,48.25
130.259,0.2,48.25
131.26,0.2,48
132.261,0.2,48
133.262,0.2,48
134.263,0.2,48.25
135.264,0.2,48.25
136.265,0.2,48.25
137.266,0.2,48.25
138.267,0.2,48
139.268,0.2,48.25
140.269,0.2,48.25
141.27,0.2,48.25
142.271,0.2,48.25
143.272,0.2,48.25
144.273,0.2,48.25
145.274,0.2,48.25
146.275,0.2,48.25
147.276,0.2,48.25
148.277,0.2,48.25
149.278,0.2,48.25
150.279,0.2,48.25
151.28,0.2,48.25
152.281,0.2,48.25
153.282,0.2,48.25
154.283,0.2,48.25
155.284,0.2,48.25
156.285,0.2,48.25
157.286,0.2,48.25
158.287,0.2,48.25
159.288,0.2,48.25
160.289,0.2,48.25
161.29,0.2,48.25
162.291,0.2,48.5
163.292,0.2,48.5
164.293,0.2,48.5
165.294,0.2,48.5
166.295,0.2,48.5
167.296,0.2,48.5
168.297,0.2,48.5
169.298,0.2,48.5
170.299,0.2,48.5
171.3,0.2,48.5
172.301,0.2,48.5
173.302,0.2,48.5
174.303,0.2,48.5
175.304,0.2,48.5
176.305,0.2,48.5
177.306,0.2,48.5
178.307,0.2,48.5
179.308,0.2,48.5
180.309,0.2,48.5
181.31,0.2,48.5
182.311,0.2,48.5
183.312,0.2,48.5
184.313,0.2,48.5
185.314,0.2,48.75
186.315,0.2,48.5
187.316,0.2,48.75
188.317,0.2,48.75
189.318,0.2,48.75
190.319,0.2,48.75
191.32,0.2,48.75
192.321,0.2,48.75
193.322,0.2,48.75
194.323,0.2,48.75
195.324,0.2,48.75
