Time (s),Heater Duty Cycle,Temperature (C)
1.13,0.2,25.25
2.131,0.2,25.25
3.132,0.2,25.5
4.133,0.2,25.25
5.134,0.2,25.5
6.135,0.2,25.5
7.136,0.2,25.5
8.137,0.2,25.5
9.138,0.2,25.5
10.139,0.2,25.5
11.14,0.2,25.75
12.141,0.2,25.75
13.142,0.2,25.75
14.143,0.2,25.75
15.144,0.2,25.75
16.145,0.2,25.75
17.146,0.2,26
18.147,0.2,26
19.148,0.2,26
20.149,0.2,26
21.15,0.2,26
22.151,0.2,26
23.152,0.2,26
24.153,0.2,26.25
25.154,0.2,26.25
26.155,0.2,26.25
27.156,0.2,26.25
28.157,0.2,26.25
29.158,0.2,26.25
30.159,0.2,26.5
31.16,0.2,26.5
32.161,0.2,26.5
33.162,0.2,26.5
34.163,0.2,26.5
35.164,0.2,26.5
36.165,0.2,26.75
37.166,0.2,26.75
38.167,0.2,26.75
39.168,0.2,26.75
40.169,0.2,26.75
41.17,0.2,26.75
42.171,0.2,27
43.172,0.2,27
44.173,0.2,27
45.174,0.2,27
46.175,0.2,27
47.176,0.2,27.25
48.177,0.2,27.25
49.178,0.2,27.25
50.179,0.2,27.25
51.18,0.2,27.25
52.181,0.2,27.25
53.182,0.2,27.25
54.183,0.2,27.5
55.184,0.2,27.5
56.185,0.2,27.5
57.186,0.2,27.5
58.187,0.2,27.5
59.188,0.2,27.5
60.189,0.2,27.75
61.19,0.2,27.75
62.191,0.2,27.75
63.192,0.2,27.75
64.193,0.2,27.75
65.194,0.2,27.75
66.195,0.2,27.75
67.196,0.2,27.75
68.197,0.2,27.75
69.198,0.2,28
70.199,0.2,28
71.2,0.2,28
72.201,0.2,28
73.202,0.2,28
74.203,0.2,28
75.204,0.2,28.25
76.205,0.2,28.25
77.206,0.2,28.25
78.207,0.2,28.25
79.208,0.2,28.25
80.209,0.2,28.25
81.21,0.2,28.5
82.211,0.2,28.5
83.212,0.2,28.5
84.213,0.2,28.5
85.214,0.2,28.5
86.215,0.2,28.5
87.216,0.2,28.75
88.217,0.2,28.75
89.218,0.2,28.75
90.219,0.2,28.75
91.22,0.2,28.75
92.221,0.2,28.75
93.222,0.2,28.75
94.223,0.2,29
95.224,0.2,29
96.225,0.2,29
97.226,0.2,29
98.227,0.2,29
99.228,0.2,29
100.229,0.2,29
101.23,0.2,29
102.231,0.2,29.25
103.232,0.2,29.25
104.233,0.2,29.25
105.234,0.2,29.25
106.235,0.2,29.25
107.236,0.2,29.25
108.237,0.2,29.25
109.238,0.2,29.25
110.239,0.2,29.5
111.24,0.2,29.5
112.241,0.2,29.5
113.242,0.2,29.5
114.243,0.2,29.5
115.244,0.2,29.5
116.245,0.2,29.5
117.246,0.2,29.5
118.247,0.2,29.75
119.248,0.2,29.75
120.249,0.2,29.75
121.25,0.2,29.75
122.251,0.2,29.75
123.252,0.2,29.75
124.253,0.2,30
125.254,0.2,30
126.255,0.2,30
127.256,0.2,30
128.257,0.2,30
129.258,0.2,30
130.259,0.2,30
131.26,0.2,30
132.261,0.2,30.25
133.262,0.2,30.25
134.263,0.2,30.25
135.264,0.2,30.25
136.265,0.2,30.25
137.266,0.2,30.25
138.267,0.2,30.25
139.268,0.2,30.25
140.269,0.2,30.5
141.27,0.2,30.5
142.271,0.2,30.5
143.272,0.2,30.5
144.273,0.2,30.5
145.274,0.2,30.5
146.275,0.2,30.5
147.276,0.2,30.5
148.277,0.2,30.75
149.278,0.2,30.75
150.279,0.2,30.75
151.28,0.2,30.75
152.281,0.2,30.75
153.282,0.2,30.75
154.283,0.2,30.75
155.284,0.2,30.75
156.285,0.2,30.75
157.286,0.2,30.75
158.287,0.2,31
159.288,0.2,31
160.289,0.2,31
161.29,0.2,31
162.291,0.2,31
163.292,0.2,31
164.293,0.2,31.25
165.294,0.2,31.25
166.295,0.2,31.25
167.296,0.2,31.25
168.297,0.2,31.25
169.298,0.2,31.25
170.299,0.2,31.25
171.3,0.2,31.25
172.301,0.2,31.5
173.302,0.2,31.5
174.303,0.2,31.5
175.304,0.2,31.5
176.305,0.2,31.5
177.306,0.2,31.5
178.307,0.2,31.5
179.308,0.2,31.5
180.309,0.2,31.5
181.31,0.2,31.75
182.311,0.2,31.5
183.312,0.2,31.75
184.313,0.2,31.75
185.314,0.2,31.75
186.315,0.2,31.75
187.316,0.2,31.75
188.317,0.2,31.75
189.318,0.2,31.75
190.319,0.2,32
191.32,0.2,32
192.321,0.2,32
193.322,0.2,32
194.323,0.2,32
195.324,0.2,32
196.325,0.2,32
197.326,0.2,32
198.327,0.2,32.25
199.328,0.2,32.25
200.329,0.2,32.25
201.33,0.2,32.25
202.331,0.2,32.25
203.332,0.2,32.25
204.333,0.2,32.25
205.334,0.2,32.25
206.335,0.2,32.25
207.336,0.2,32.25
208.337,0.2,32.5
209.338,0.2,32.5
210.339,0.2,32.5
211.34,0.2,32.5
212.341,0.2,32.5
213.342,0.2,32.5
214.343,0.2,32.5
215.344,0.2,32.75
216.345,0.2,32.75
217.346,0.2,32.75
218.347,0.2,32.75
219.348,0.2,32.75
220.349,0.2,32.75
221.35,0.2,32.75
222.351,0.2,32.75
223.352,0.2,32.75
224.353,0.2,33
225.354,0.2,33
226.355,0.2,33
227.356,0.2,33
228.357,0.2,33
229.358,0.2,33
230.359,0.2,33
231.36,0.2,33
232.361,0.2,33
233.362,0.2,33.25
234.363,0.2,33.25
235.364,0.2,33.25
236.365,0.2,33.25
237.366,0.2,33.25
238.367,0.2,33.25
239.368,0.2,33.25
240.369,0.2,33.25
241.37,0.2,33.25
242.371,0.2,33.25
243.372,0.2,33.5
244.373,0.2,33.5
245.374,0.2,33.5
246.375,0.2,33.5
247.376,0.2,33.5
248.377,0.2,33.5
249.378,0.2,33.5
250.379,0.2,33.5
251.38,0.2,33.5
252.381,0.2,33.75
253.382,0.2,33.75
254.383,0.2,33.75
255.384,0.2,33.75
256.385,0.2,33.75
257.386,0.2,33.75
258.387,0.2,33.75
259.388,0.2,33.75
260.389,0.2,33.75
261.39,0.2,34
262.391,0.2,34
263.392,0.2,34
264.393,0.2,34
265.394,0.2,34
266.395,0.2,34
267.396,0.2,34
268.397,0.2,34
269.398,0.2,34
270.399,0.2,34.25
271.4,0.2,34.25
272.401,0.2,34.25
273.402,0.2,34.25
274.403,0.2,34.25
275.404,0.2,34.25
276.405,0.2,34.25
277.406,0.2,34.25
278.407,0.2,34.25
279.408,0.2,34.25
280.409,0.2,34.5
281.41,0.2,34.5
282.411,0.2,34.5
283.412,0.2,34.5
284.413,0.2,34.5
285.414,0.2,34.5
286.415,0.2,34.5
287.416,0.2,34.5
288.417,0.2,34.5
289.418,0.2,34.75
290.419,0.2,34.75
291.42,0.2,34.75
292.421,0.2,34.75
293.422,0.2,34.75
294.423,0.2,34.75
295.424,0.2,34.75
296.425,0.2,34.75
297.426,0.2,35
298.427,0.2,35
299.428,0.2,35
300.429,0.2,35
301.43,0.2,35
302.431,0.2,35
303.432,0.2,35
304.433,0.2,35
305.434,0.2,35
306.435,0.2,35.25
307.436,0.2,35
308.437,0.2,35.25
309.438,0.2,35.25
310.439,0.2,35.25
311.44,0.2,35.25
312.441,0.2,35.25
313.442,0.2,35.25
314.443,0.2,35.25
315.444,0.2,35.25
316.445,0.2,35.25
317.446,0.2,35.5
318.447,0.2,35.5
319.448,0.2,35.5
320.449,0.2,35.5
321.45,0.2,35.5
322.451,0.2,35.5
323.452,0.2,35.5
324.453,0.2,35.5
325.454,0.2,35.5
326.455,0.2,35.5
327.456,0.2,35.75
328.457,0.2,35.75
329.458,0.2,35.75
330.459,0.2,35.75
331.46,0.2,35.75
332.461,0.2,35.75
333.462,0.2,35.75
334.463,0.2,35.75
335.464,0.2,35.75
336.465,0.2,35.75
337.466,0.2,36
338.467,0.2,36
339.468,0.2,36
340.469,0.2,36
341.47,0.2,36
342.471,0.2,36
343.472,0.2,36
344.473,0.2,36
345.474,0.2,36
346.475,0.2,36
347.476,0.2,36.25
348.477,0.2,36.25
349.478,0.2,36.25
350.479,0.2,36.25
351.48,0.2,36.25
352.481,0.2,36.25
353.482,0.2,36.25
354.483,0.2,36.25
355.484,0.2,36.5
356.485,0.2,36.25
357.486,0.2,36.5
358.487,0.2,36.5
359.488,0.2,36.5
360.489,0.2,36.5
361.49,0.2,36.5
362.491,0.2,36.5
363.492,0.2,36.5
364.493,0.2,36.5
365.494,0.2,36.5
366.495,0.2,36.5
367.496,0.2,36.75
368.497,0.2,36.75
369.498,0.2,36.75
370.499,0.2,36.75
371.5,0.2,36.75
372.501,0.2,36.75
373.502,0.2,36.75
374.503,0.2,36.75
375.504,0.2,36.75
376.505,0.2,36.75
377.506,0.2,36.75
378.507,0.2,37
379.508,0.2,37
380.509,0.2,37
381.51,0.2,37
382.511,0.2,37
383.512,0.2,37
384.513,0.2,37
385.514,0.2,37
386.515,0.2,37
387.516,0.2,37
388.517,0.2,37.25
389.518,0.2,37.25
390.519,0.2,37.25
391.52,0.2,37.25
392.521,0.2,37.25
393.522,0.2,37.25
394.523,0.2,37.25
395.524,0.2,37.25
396.525,0.2,37.25
397.526,0.2,37.25
398.527,0.2,37.5
399.528,0.2,37.5
400.529,0.2,37.5
401.53,0.2,37.5
402.531,0.2,37.5
403.532,0.2,37.5
404.533,0.2,37.5
405.534,0.2,37.5
406.535,0.2,37.5
407.536,0.2,37.5
408.537,0.2,37.5
409.538,0.2,37.75
410.539,0.2,37.5
411.54,0.2,37.75
412.541,0.2,37.75
413.542,0.2,37.75
414.543,0.2,37.75
415.544,0.2,37.75
416.545,0.2,37.75
417.546,0.2,37.75
418.547,0.2,37.75
419.548,0.2,37.75
420.549,0.2,37.75
421.55,0.2,38
422.551,0.2,38
423.552,0.2,38
424.553,0.2,38
425.554,0.2,38
426.555,0.2,38
427.556,0.2,38
428.557,0.2,38.25
429.558,0.2,38
430.559,0.2,38.25
431.56,0.2,38.25
432.561,0.2,38.25
433.562,0.2,38.25
434.563,0.2,38.25
435.564,0.2,38.25
436.565,0.2,38.25
437.566,0.2,38.25
438.567,0.2,38.25
439.568,0.2,38.25
440.569,0.2,38.5
441.57,0.2,38.25
442.571,0.2,38.5
443.572,0.2,38.5
444.573,0.2,38.5
445.574,0.2,38.5
446.575,0.2,38.5
447.576,0.2,38.5
448.577,0.2,38.5
449.578,0.2,38.5
450.579,0.2,38.5
451.58,0.2,38.5
452.581,0.2,38.75
453.582,0.2,38.75
454.583,0.2,38.75
455.584,0.2,38.75
456.585,0.2,38.75
457.586,0.2,38.75
458.587,0.2,38.75
459.588,0.2,38.75
460.589,0.2,38.75
461.59,0.2,38.75
462.591,0.2,39
463.592,0.2,38.75
464.593,0,39
465.594,0,39
466.595,0,39
467.596,0,39
468.597,0,39
469.598,0,39
470.599,0,39
471.6,0,39.25
472.601,0,39.25
473.602,0,39.25
474.603,0,39.25
475.604,0,39.25
476.605,0,39.25
477.606,0,39.25
478.607,0,39.25
479.608,0,39.25
480.609,0,39.25
481.61,0,39.25
482.611,0,39.25
483.612,0,39.25
484.613,0,39.5
485.614,0,39.25
486.615,0,39.5
487.616,0,39.5
488.617,0,39.5
489.618,0,39.5
490.619,0,39.5
491.62,0,39.5
492.621,0,39.5
493.622,0,39.5
494.623,0,39.5
495.624,0,39.5
496.625,0,39.75
497.626,0,39.75
498.627,0,39.5
499.628,0,39.75
500.629,0,39.75
501.63,0,39.75
502.631,0,39.75
503.632,0,39.75
504.633,0,39.75
505.634,0,39.75
506.635,0,39.75
507.636,0,39.75
508.637,0,39.75
509.638,0,40
510.639,0,40
511.64,0,40
512.641,0,40
513.642,0,40
514.643,0,40
515.644,0,40
516.645,0,40
517.646,0,40
518.647,0,40
519.648,0,40
520.649,0,40.25
521.65,0,40
522.651,0,40.25
523.652,0,40.25
524.653,0,40.25
525.654,0,40.25
526.655,0,40.25
527.656,0,40.25
528.657,0,40.25
529.658,0,40.25
530.659,0,40.25
531.66,0,40.25
532.661,0,40.5
533.662,0,40.5
534.663,0,40.25
535.664,0,40.25
536.665,0,40.5
537.666,0,40.25
538.667,0,40.5
539.668,0,40.5
540.669,0,40.5
541.67,0,40.5
542.671,0,40.5
543.672,0,40.5
544.673,0,40.5
545.674,0,40.5
546.675,0,40.5
547.676,0,40.5
548.677,0,40.75
549.678,0,40.75
550.679,0,40.5
551.68,0,40.75
552.681,0,40.75
553.682,0,40.75
554.683,0,40.75
555.684,0,40.75
556.685,0,40.75
557.686,0,40.75
558.687,0,40.75
559.688,0,40.75
560.689,0,40.75
561.69,0,40.75
562.691,0,40.75
563.692,0,40.75
564.693,0,40.75
565.694,0,41
566.695,0,40.75
567.696,0,41
568.697,0,40.75
569.698,0,41
570.699,0,41
571.7,0,41
572.701,0,41
573.702,0,41
574.703,0,41
575.704,0,41
576.705,0,41
577.706,0,41
578.707,0,41
579.708,0,41
580.709,0,41
581.71,0,41
582.711,0,41
583.712,0,41.25
584.713,0,41.25
585.714,0,41.25
586.715,0,41.25
587.716,0,41
588.717,0,41.25
589.718,0,41.25
590.719,0,41.25
591.72,0,41
592.721,0,41.25
593.722,0,41.25
594.723,0,41.25
595.724,0,41.25
596.725,0,41.25
597.726,0,41.25
598.727,0,41.25
599.728,0,41.25
600.729,0,41.25
601.73,0,41.25
602.731,0,41.25
603.732,0,41.25
604.733,0,41.5
605.734,0,41.25
606.735,0,41.5
607.736,0,41.5
608.737,0,41.25
609.738,0,41.5
610.739,0,41.5
611.74,0,41.5
612.741,0,41.5
613.742,0,41.5
614.743,0,41.5
615.744,0,41.5
616.745,0,41.5
617.746,0,41.5
618.747,0,41.5
619.748,0,41.5
620.749,0,41.5
621.75,0,41.5
622.751,0,41.5
623.752,0,41.5
624.753,0,41.5
625.754,0,41.5
626.755,0,41.5
627.756,0,41.5
628.757,0,41.5
629.758,0,41.5
630.759,0,41.5
631.76,0,41.75
632.761,0,41.5
633.762,0,41.5
634.763,0,41.75
635.764,0,41.5
636.765,0,41.75
637.766,0,41.75
638.767,0,41.75
639.768,0,41.75
640.769,0,41.75
641.77,0,41.75
642.771,0,41.75
643.772,0,41.75
644.773,0,41.75
645.774,0,41.75
646.775,0,41.75
647.776,0,41.75
648.777,0,41.75
649.778,0,41.75
650.779,0,41.75
651.78,0,41.75
652.781,0,41.75
653.782,0,41.75
654.783,0,41.75
655.784,0,41.75
656.785,0,41.75
657.786,0,41.75
658.787,0,41.75
659.788,0,41.75
660.789,0,41.75
661.79,0,41.75
662.791,0,41.75
663.792,0,41.75
664.793,0,41.75
665.794,0,41.75
666.795,0,41.75
667.796,0,41.75
668.797,0,41.75
669.798,0,41.75
670.799,0,41.75
671.8,0,42
672.801,0,42
673.802,0,42
674.803,0,42
675.804,0,41.75
676.805,0,42
677.806,0,42
678.807,0,42
679.808,0,42
680.809,0,41.75
681.81,0,41.75
682.811,0,42
683.812,0,42
684.813,0,42
685.814,0,42
686.815,0,42
687.816,0,42
688.817,0,42
689.818,0,42
690.819,0,42
691.82,0,42
692.821,0,42
693.822,0,42
694.823,0,42
695.824,0,42
696.825,0,42
697.826,0,42
698.827,0,42
699.828,0,42
700.829,0,42
701.83,0,42
702.831,0,42
703.832,0,42
704.833,0,42
705.834,0,42
706.835,0,42
707.836,0,42
708.837,0,42
709.838,0,42
710.839,0,42
711.84,0,42
712.841,0,42
713.842,0,42
714.843,0,42
715.844,0,42.25
716.845,0,42
717.846,0,42
718.847,0,42
719.848,0,42.25
720.849,0,42
721.85,0,42.25
722.851,0,42.25
723.852,0,42
724.853,0,42.25
725.854,0,42
726.855,0,42.25
727.856,0,42.25
728.857,0,42.25
729.858,0,42.25
730.859,0,42.25
731.86,0,42
732.861,0,42.25
733.862,0,42.25
734.863,0,42.25
735.864,0,42.25
736.865,0,42.25
737.866,0,42.25
738.867,0,42.25
739.868,0,42.25
740.869,0,42.25
741.87,0,42.25
742.871,0,42.25
743.872,0,42
744.873,0,42.25
745.874,0,42.25
746.875,0,42.25
747.876,0,42.25
748.877,0,42.25
749.878,0,42.25
750.879,0,42.25
751.88,0,42.25
752.881,0,42.25
753.882,0,42.25
754.883,0,42.25
755.884,0,42.25
756.885,0,42.25
757.886,0,42.25
758.887,0,42.25
759.888,0,42.25
760.889,0,42.25
761.89,0,42.25
762.891,0,42.25
763.892,0,42.25
764.893,0,42.25
765.894,0,42.25
766.895,0,42.25
767.896,0,42.25
768.897,0,42.25
769.898,0,42.25
770.899,0,42.25
771.9,0,42.25
772.901,0,42.25
773.902,0,42.25
774.903,0,42.25
775.904,0,42.25
776.905,0,42.25
777.906,0,42.25
778.907,0,42.25
779.908,0,42.25
780.909,0,42.25
781.91,0,42.25
782.911,0,42.25
783.912,0,42.25
784.913,0,42.25
785.914,0,42.25
786.915,0,42.25
787.916,0,42.25
788.917,0,42.25
789.918,0,42.25
790.919,0,42.25
791.92,0,42.25
792.921,0,42.25
793.922,0,42.25
794.923,0,42.25
795.924,0,42.25
796.925,0,42.25
797.926,0,42.25
798.927,0,42.25
799.928,0,42.25
800.929,0,42.25
801.93,0,42.25
802.931,0,42.25
803.932,0,42.25
804.933,0,42.25
805.934,0,42.25
806.935,0,42.25
807.936,0,42.25
808.937,0,42.25
809.938,0,42.25
810.939,0,42.5
811.94,0,42.5
812.941,0,42.5
813.942,0,42.5
814.943,0,42.5
815.944,0,42.25
816.945,0,42.25
817.946,0,42.25
818.947,0,42.25
819.948,0,42.25
820.949,0,42.25
821.95,0,42.5
822.951,0,42.5
823.952,0,42.25
824.953,0,42.25
